sample_id,crop_path,mask_path,split
IMG_0031_plate_01,data\crops\IMG_0031_plate_01.jpg,data\masks\IMG_0031_plate_01.png,train
IMG_0031_plate_02,data\crops\IMG_0031_plate_02.jpg,data\masks\IMG_0031_plate_02.png,train
IMG_0032_plate_01,data\crops\IMG_0032_plate_01.jpg,data\masks\IMG_0032_plate_01.png,train
IMG_0033_plate_01,data\crops\IMG_0033_plate_01.jpg,data\masks\IMG_0033_plate_01.png,test
IMG_0034_plate_01,data\crops\IMG_0034_plate_01.jpg,data\masks\IMG_0034_plate_01.png,train
IMG_0035_plate_01,data\crops\IMG_0035_plate_01.jpg,data\masks\IMG_0035_plate_01.png,train
IMG_0036_plate_01,data\crops\IMG_0036_plate_01.jpg,data\masks\IMG_0036_plate_01.png,val
IMG_0037_plate_01,data\crops\IMG_0037_plate_01.jpg,data\masks\IMG_0037_plate_01.png,val
IMG_0038_plate_01,data\crops\IMG_0038_plate_01.jpg,data\masks\IMG_0038_plate_01.png,train
IMG_0038_plate_02,data\crops\IMG_0038_plate_02.jpg,data\masks\IMG_0038_plate_02.png,train
IMG_0039_plate_01,data\crops\IMG_0039_plate_01.jpg,data\masks\IMG_0039_plate_01.png,train
IMG_0040_plate_01,data\crops\IMG_0040_plate_01.jpg,data\masks\IMG_0040_plate_01.png,train
IMG_0041_plate_01,data\crops\IMG_0041_plate_01.jpg,data\masks\IMG_0041_plate_01.png,test
IMG_0042_plate_01,data\crops\IMG_0042_plate_01.jpg,data\masks\IMG_0042_plate_01.png,val
IMG_0042_plate_02,data\crops\IMG_0042_plate_02.jpg,data\masks\IMG_0042_plate_02.png,test
IMG_0043_plate_01,data\crops\IMG_0043_plate_01.jpg,data\masks\IMG_0043_plate_01.png,test
IMG_0043_plate_02,data\crops\IMG_0043_plate_02.jpg,data\masks\IMG_0043_plate_02.png,train
IMG_0044_plate_01,data\crops\IMG_0044_plate_01.jpg,data\masks\IMG_0044_plate_01.png,train
IMG_0044_plate_02,data\crops\IMG_0044_plate_02.jpg,data\masks\IMG_0044_plate_02.png,test
IMG_0044_plate_03,data\crops\IMG_0044_plate_03.jpg,data\masks\IMG_0044_plate_03.png,train
IMG_0045_plate_01,data\crops\IMG_0045_plate_01.jpg,data\masks\IMG_0045_plate_01.png,train
IMG_0045_plate_02,data\crops\IMG_0045_plate_02.jpg,data\masks\IMG_0045_plate_02.png,train
IMG_0045_plate_03,data\crops\IMG_0045_plate_03.jpg,data\masks\IMG_0045_plate_03.png,val
IMG_0045_plate_04,data\crops\IMG_0045_plate_04.jpg,data\masks\IMG_0045_plate_04.png,val
IMG_0046_plate_01,data\crops\IMG_0046_plate_01.jpg,data\masks\IMG_0046_plate_01.png,test
IMG_0046_plate_02,data\crops\IMG_0046_plate_02.jpg,data\masks\IMG_0046_plate_02.png,train
IMG_0047_plate_01,data\crops\IMG_0047_plate_01.jpg,data\masks\IMG_0047_plate_01.png,train
IMG_0047_plate_02,data\crops\IMG_0047_plate_02.jpg,data\masks\IMG_0047_plate_02.png,train
IMG_0048_plate_01,data\crops\IMG_0048_plate_01.jpg,data\masks\IMG_0048_plate_01.png,train
IMG_0048_plate_02,data\crops\IMG_0048_plate_02.jpg,data\masks\IMG_0048_plate_02.png,val
IMG_0048_plate_03,data\crops\IMG_0048_plate_03.jpg,data\masks\IMG_0048_plate_03.png,train
IMG_0049_plate_01,data\crops\IMG_0049_plate_01.jpg,data\masks\IMG_0049_plate_01.png,val
IMG_0051_plate_01,data\crops\IMG_0051_plate_01.jpg,data\masks\IMG_0051_plate_01.png,train
IMG_0052_plate_01,data\crops\IMG_0052_plate_01.jpg,data\masks\IMG_0052_plate_01.png,train
IMG_0053_plate_01,data\crops\IMG_0053_plate_01.jpg,data\masks\IMG_0053_plate_01.png,train
IMG_0054_plate_01,data\crops\IMG_0054_plate_01.jpg,data\masks\IMG_0054_plate_01.png,train
IMG_0054_plate_02,data\crops\IMG_0054_plate_02.jpg,data\masks\IMG_0054_plate_02.png,train
IMG_0055_plate_01,data\crops\IMG_0055_plate_01.jpg,data\masks\IMG_0055_plate_01.png,train
IMG_0055_plate_02,data\crops\IMG_0055_plate_02.jpg,data\masks\IMG_0055_plate_02.png,test
IMG_0056_plate_01,data\crops\IMG_0056_plate_01.jpg,data\masks\IMG_0056_plate_01.png,train
IMG_0056_plate_02,data\crops\IMG_0056_plate_02.jpg,data\masks\IMG_0056_plate_02.png,train
IMG_0057_plate_01,data\crops\IMG_0057_plate_01.jpg,data\masks\IMG_0057_plate_01.png,train
IMG_0058_plate_01,data\crops\IMG_0058_plate_01.jpg,data\masks\IMG_0058_plate_01.png,test
IMG_0059_plate_01,data\crops\IMG_0059_plate_01.jpg,data\masks\IMG_0059_plate_01.png,train
IMG_0060_plate_01,data\crops\IMG_0060_plate_01.jpg,data\masks\IMG_0060_plate_01.png,train
IMG_0061_plate_01,data\crops\IMG_0061_plate_01.jpg,data\masks\IMG_0061_plate_01.png,train
IMG_0062_plate_01,data\crops\IMG_0062_plate_01.jpg,data\masks\IMG_0062_plate_01.png,train
IMG_0063_plate_01,data\crops\IMG_0063_plate_01.jpg,data\masks\IMG_0063_plate_01.png,train
IMG_0064_plate_01,data\crops\IMG_0064_plate_01.jpg,data\masks\IMG_0064_plate_01.png,train
IMG_0064_plate_02,data\crops\IMG_0064_plate_02.jpg,data\masks\IMG_0064_plate_02.png,train
IMG_0065_plate_01,data\crops\IMG_0065_plate_01.jpg,data\masks\IMG_0065_plate_01.png,train
IMG_0066_plate_01,data\crops\IMG_0066_plate_01.jpg,data\masks\IMG_0066_plate_01.png,train
IMG_0067_plate_01,data\crops\IMG_0067_plate_01.jpg,data\masks\IMG_0067_plate_01.png,train
IMG_0067_plate_02,data\crops\IMG_0067_plate_02.jpg,data\masks\IMG_0067_plate_02.png,train
IMG_0067_plate_03,data\crops\IMG_0067_plate_03.jpg,data\masks\IMG_0067_plate_03.png,val
IMG_0068_plate_01,data\crops\IMG_0068_plate_01.jpg,data\masks\IMG_0068_plate_01.png,train
IMG_0069_plate_01,data\crops\IMG_0069_plate_01.jpg,data\masks\IMG_0069_plate_01.png,val
IMG_0070_plate_01,data\crops\IMG_0070_plate_01.jpg,data\masks\IMG_0070_plate_01.png,train
IMG_0070_plate_02,data\crops\IMG_0070_plate_02.jpg,data\masks\IMG_0070_plate_02.png,val
IMG_0071_plate_01,data\crops\IMG_0071_plate_01.jpg,data\masks\IMG_0071_plate_01.png,train
IMG_0072_plate_01,data\crops\IMG_0072_plate_01.jpg,data\masks\IMG_0072_plate_01.png,train
IMG_0073_plate_01,data\crops\IMG_0073_plate_01.jpg,data\masks\IMG_0073_plate_01.png,train
IMG_0074_plate_01,data\crops\IMG_0074_plate_01.jpg,data\masks\IMG_0074_plate_01.png,val
IMG_0074_plate_02,data\crops\IMG_0074_plate_02.jpg,data\masks\IMG_0074_plate_02.png,train
IMG_0075_plate_01,data\crops\IMG_0075_plate_01.jpg,data\masks\IMG_0075_plate_01.png,train
IMG_0076_plate_01,data\crops\IMG_0076_plate_01.jpg,data\masks\IMG_0076_plate_01.png,train
IMG_0077_plate_01,data\crops\IMG_0077_plate_01.jpg,data\masks\IMG_0077_plate_01.png,train
IMG_0077_plate_02,data\crops\IMG_0077_plate_02.jpg,data\masks\IMG_0077_plate_02.png,train
IMG_0077_plate_03,data\crops\IMG_0077_plate_03.jpg,data\masks\IMG_0077_plate_03.png,test
IMG_0078_plate_01,data\crops\IMG_0078_plate_01.jpg,data\masks\IMG_0078_plate_01.png,train
IMG_0078_plate_02,data\crops\IMG_0078_plate_02.jpg,data\masks\IMG_0078_plate_02.png,train
IMG_0081_plate_01,data\crops\IMG_0081_plate_01.jpg,data\masks\IMG_0081_plate_01.png,test
IMG_0082_plate_01,data\crops\IMG_0082_plate_01.jpg,data\masks\IMG_0082_plate_01.png,train
IMG_0082_plate_02,data\crops\IMG_0082_plate_02.jpg,data\masks\IMG_0082_plate_02.png,train
IMG_0083_plate_01,data\crops\IMG_0083_plate_01.jpg,data\masks\IMG_0083_plate_01.png,val
IMG_0084_plate_01,data\crops\IMG_0084_plate_01.jpg,data\masks\IMG_0084_plate_01.png,train
IMG_0085_plate_01,data\crops\IMG_0085_plate_01.jpg,data\masks\IMG_0085_plate_01.png,train
IMG_0085_plate_02,data\crops\IMG_0085_plate_02.jpg,data\masks\IMG_0085_plate_02.png,train
IMG_0086_plate_01,data\crops\IMG_0086_plate_01.jpg,data\masks\IMG_0086_plate_01.png,test
IMG_0087_plate_01,data\crops\IMG_0087_plate_01.jpg,data\masks\IMG_0087_plate_01.png,train
IMG_0088_plate_01,data\crops\IMG_0088_plate_01.jpg,data\masks\IMG_0088_plate_01.png,train
IMG_0088_plate_02,data\crops\IMG_0088_plate_02.jpg,data\masks\IMG_0088_plate_02.png,train
IMG_0088_plate_03,data\crops\IMG_0088_plate_03.jpg,data\masks\IMG_0088_plate_03.png,train
IMG_0089_plate_01,data\crops\IMG_0089_plate_01.jpg,data\masks\IMG_0089_plate_01.png,test
IMG_0089_plate_02,data\crops\IMG_0089_plate_02.jpg,data\masks\IMG_0089_plate_02.png,train
IMG_0090_plate_01,data\crops\IMG_0090_plate_01.jpg,data\masks\IMG_0090_plate_01.png,train
IMG_0091_plate_01,data\crops\IMG_0091_plate_01.jpg,data\masks\IMG_0091_plate_01.png,train
IMG_0091_plate_02,data\crops\IMG_0091_plate_02.jpg,data\masks\IMG_0091_plate_02.png,train
IMG_0092_plate_01,data\crops\IMG_0092_plate_01.jpg,data\masks\IMG_0092_plate_01.png,test
IMG_0092_plate_02,data\crops\IMG_0092_plate_02.jpg,data\masks\IMG_0092_plate_02.png,test
IMG_0092_plate_03,data\crops\IMG_0092_plate_03.jpg,data\masks\IMG_0092_plate_03.png,test
IMG_0093_plate_01,data\crops\IMG_0093_plate_01.jpg,data\masks\IMG_0093_plate_01.png,val
IMG_0093_plate_02,data\crops\IMG_0093_plate_02.jpg,data\masks\IMG_0093_plate_02.png,train
IMG_0094_plate_01,data\crops\IMG_0094_plate_01.jpg,data\masks\IMG_0094_plate_01.png,train
IMG_0095_plate_01,data\crops\IMG_0095_plate_01.jpg,data\masks\IMG_0095_plate_01.png,train
IMG_0095_plate_02,data\crops\IMG_0095_plate_02.jpg,data\masks\IMG_0095_plate_02.png,train
IMG_0096_plate_01,data\crops\IMG_0096_plate_01.jpg,data\masks\IMG_0096_plate_01.png,test
IMG_0096_plate_02,data\crops\IMG_0096_plate_02.jpg,data\masks\IMG_0096_plate_02.png,train
IMG_0097_plate_01,data\crops\IMG_0097_plate_01.jpg,data\masks\IMG_0097_plate_01.png,train
IMG_0098_plate_01,data\crops\IMG_0098_plate_01.jpg,data\masks\IMG_0098_plate_01.png,train
IMG_0099_plate_01,data\crops\IMG_0099_plate_01.jpg,data\masks\IMG_0099_plate_01.png,train
IMG_0100_plate_01,data\crops\IMG_0100_plate_01.jpg,data\masks\IMG_0100_plate_01.png,train
IMG_0101_plate_01,data\crops\IMG_0101_plate_01.jpg,data\masks\IMG_0101_plate_01.png,train
IMG_0102_plate_01,data\crops\IMG_0102_plate_01.jpg,data\masks\IMG_0102_plate_01.png,train
IMG_0103_plate_01,data\crops\IMG_0103_plate_01.jpg,data\masks\IMG_0103_plate_01.png,train
IMG_0104_plate_01,data\crops\IMG_0104_plate_01.jpg,data\masks\IMG_0104_plate_01.png,train
IMG_0105_plate_01,data\crops\IMG_0105_plate_01.jpg,data\masks\IMG_0105_plate_01.png,val
IMG_0106_plate_01,data\crops\IMG_0106_plate_01.jpg,data\masks\IMG_0106_plate_01.png,train
IMG_0107_plate_01,data\crops\IMG_0107_plate_01.jpg,data\masks\IMG_0107_plate_01.png,val
IMG_0108_plate_01,data\crops\IMG_0108_plate_01.jpg,data\masks\IMG_0108_plate_01.png,train
IMG_0109_plate_01,data\crops\IMG_0109_plate_01.jpg,data\masks\IMG_0109_plate_01.png,val
IMG_0110_plate_01,data\crops\IMG_0110_plate_01.jpg,data\masks\IMG_0110_plate_01.png,train
IMG_0111_plate_01,data\crops\IMG_0111_plate_01.jpg,data\masks\IMG_0111_plate_01.png,train
IMG_0112_plate_01,data\crops\IMG_0112_plate_01.jpg,data\masks\IMG_0112_plate_01.png,test
IMG_0113_plate_01,data\crops\IMG_0113_plate_01.jpg,data\masks\IMG_0113_plate_01.png,train
IMG_0114_plate_01,data\crops\IMG_0114_plate_01.jpg,data\masks\IMG_0114_plate_01.png,train
IMG_0115_plate_01,data\crops\IMG_0115_plate_01.jpg,data\masks\IMG_0115_plate_01.png,train
IMG_0116_plate_01,data\crops\IMG_0116_plate_01.jpg,data\masks\IMG_0116_plate_01.png,val
IMG_0117_plate_01,data\crops\IMG_0117_plate_01.jpg,data\masks\IMG_0117_plate_01.png,train
IMG_0118_plate_01,data\crops\IMG_0118_plate_01.jpg,data\masks\IMG_0118_plate_01.png,val
IMG_0119_plate_01,data\crops\IMG_0119_plate_01.jpg,data\masks\IMG_0119_plate_01.png,train
IMG_0120_plate_01,data\crops\IMG_0120_plate_01.jpg,data\masks\IMG_0120_plate_01.png,train
IMG_0121_plate_01,data\crops\IMG_0121_plate_01.jpg,data\masks\IMG_0121_plate_01.png,test
IMG_0121_plate_02,data\crops\IMG_0121_plate_02.jpg,data\masks\IMG_0121_plate_02.png,train
IMG_0121_plate_03,data\crops\IMG_0121_plate_03.jpg,data\masks\IMG_0121_plate_03.png,val
IMG_0122_plate_01,data\crops\IMG_0122_plate_01.jpg,data\masks\IMG_0122_plate_01.png,train
IMG_0122_plate_02,data\crops\IMG_0122_plate_02.jpg,data\masks\IMG_0122_plate_02.png,train
IMG_0123_plate_01,data\crops\IMG_0123_plate_01.jpg,data\masks\IMG_0123_plate_01.png,train
IMG_0123_plate_02,data\crops\IMG_0123_plate_02.jpg,data\masks\IMG_0123_plate_02.png,val
IMG_0124_plate_01,data\crops\IMG_0124_plate_01.jpg,data\masks\IMG_0124_plate_01.png,train
IMG_0124_plate_02,data\crops\IMG_0124_plate_02.jpg,data\masks\IMG_0124_plate_02.png,train
IMG_0125_plate_01,data\crops\IMG_0125_plate_01.jpg,data\masks\IMG_0125_plate_01.png,train
IMG_0125_plate_02,data\crops\IMG_0125_plate_02.jpg,data\masks\IMG_0125_plate_02.png,train
IMG_0126_plate_01,data\crops\IMG_0126_plate_01.jpg,data\masks\IMG_0126_plate_01.png,train
IMG_0127_plate_01,data\crops\IMG_0127_plate_01.jpg,data\masks\IMG_0127_plate_01.png,train
IMG_0127_plate_02,data\crops\IMG_0127_plate_02.jpg,data\masks\IMG_0127_plate_02.png,train
IMG_0128_plate_01,data\crops\IMG_0128_plate_01.jpg,data\masks\IMG_0128_plate_01.png,train
IMG_0129_plate_01,data\crops\IMG_0129_plate_01.jpg,data\masks\IMG_0129_plate_01.png,train
IMG_0129_plate_02,data\crops\IMG_0129_plate_02.jpg,data\masks\IMG_0129_plate_02.png,train
IMG_0130_plate_01,data\crops\IMG_0130_plate_01.jpg,data\masks\IMG_0130_plate_01.png,train
IMG_0131_plate_01,data\crops\IMG_0131_plate_01.jpg,data\masks\IMG_0131_plate_01.png,train
IMG_0132_plate_01,data\crops\IMG_0132_plate_01.jpg,data\masks\IMG_0132_plate_01.png,train
IMG_0132_plate_02,data\crops\IMG_0132_plate_02.jpg,data\masks\IMG_0132_plate_02.png,train
IMG_0133_plate_01,data\crops\IMG_0133_plate_01.jpg,data\masks\IMG_0133_plate_01.png,train
IMG_0135_plate_01,data\crops\IMG_0135_plate_01.jpg,data\masks\IMG_0135_plate_01.png,train
IMG_0136_plate_01,data\crops\IMG_0136_plate_01.jpg,data\masks\IMG_0136_plate_01.png,train
IMG_0136_plate_02,data\crops\IMG_0136_plate_02.jpg,data\masks\IMG_0136_plate_02.png,train
IMG_0136_plate_03,data\crops\IMG_0136_plate_03.jpg,data\masks\IMG_0136_plate_03.png,train
IMG_0137_plate_01,data\crops\IMG_0137_plate_01.jpg,data\masks\IMG_0137_plate_01.png,train
IMG_0137_plate_02,data\crops\IMG_0137_plate_02.jpg,data\masks\IMG_0137_plate_02.png,train
IMG_0137_plate_03,data\crops\IMG_0137_plate_03.jpg,data\masks\IMG_0137_plate_03.png,train
IMG_0138_plate_01,data\crops\IMG_0138_plate_01.jpg,data\masks\IMG_0138_plate_01.png,train
IMG_0139_plate_01,data\crops\IMG_0139_plate_01.jpg,data\masks\IMG_0139_plate_01.png,val
IMG_0139_plate_02,data\crops\IMG_0139_plate_02.jpg,data\masks\IMG_0139_plate_02.png,train
IMG_0140_plate_01,data\crops\IMG_0140_plate_01.jpg,data\masks\IMG_0140_plate_01.png,train
IMG_0141_plate_01,data\crops\IMG_0141_plate_01.jpg,data\masks\IMG_0141_plate_01.png,train
IMG_0141_plate_02,data\crops\IMG_0141_plate_02.jpg,data\masks\IMG_0141_plate_02.png,train
IMG_0142_plate_01,data\crops\IMG_0142_plate_01.jpg,data\masks\IMG_0142_plate_01.png,train
IMG_0143_plate_01,data\crops\IMG_0143_plate_01.jpg,data\masks\IMG_0143_plate_01.png,train
